site_no,site_lat,site_lon,granule_urls,datetime
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFL_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFLUNCERT_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_MASK_001_20230327T230128_2308615_003.nc']",2023-03-27T23:01:28.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFL_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFLUNCERT_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_MASK_001_20230331T212603_2309014_003.nc']",2023-03-31T21:26:03.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230404T195131_2309413_002/EMIT_L2A_RFL_001_20230404T195131_2309413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230404T195131_2309413_002/EMIT_L2A_RFLUNCERT_001_20230404T195131_2309413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230404T195131_2309413_002/EMIT_L2A_MASK_001_20230404T195131_2309413_002.nc']",2023-04-04T19:51:31.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222345_2310515_004/EMIT_L2A_RFL_001_20230415T222345_2310515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222345_2310515_004/EMIT_L2A_RFLUNCERT_001_20230415T222345_2310515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222345_2310515_004/EMIT_L2A_MASK_001_20230415T222345_2310515_004.nc']",2023-04-15T22:23:45.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFL_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFLUNCERT_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_MASK_001_20230527T225315_2314715_004.nc']",2023-05-27T22:53:15.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFL_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFLUNCERT_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_MASK_001_20230622T193201_2317313_003.nc']",2023-06-22T19:32:01.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFL_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFLUNCERT_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_MASK_001_20230807T182744_2321912_006.nc']",2023-08-07T18:27:44.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFL_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFLUNCERT_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_MASK_001_20230818T210019_2323014_002.nc']",2023-08-18T21:00:19.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFL_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFLUNCERT_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_MASK_001_20230822T192519_2323413_002.nc']",2023-08-22T19:25:19.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFL_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFLUNCERT_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_MASK_001_20230822T192531_2323413_003.nc']",2023-08-22T19:25:31.000Z
11336790,38.09638889,-121.496111,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_RFL_001_20230826T174937_2323812_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_RFLUNCERT_001_20230826T174937_2323812_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_MASK_001_20230826T174937_2323812_001.nc']",2023-08-26T17:49:37.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFL_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFLUNCERT_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_MASK_001_20220813T232355_2222515_004.nc']",2022-08-13T23:23:55.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230116_2308615_002/EMIT_L2A_RFL_001_20230327T230116_2308615_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230116_2308615_002/EMIT_L2A_RFLUNCERT_001_20230327T230116_2308615_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230116_2308615_002/EMIT_L2A_MASK_001_20230327T230116_2308615_002.nc']",2023-03-27T23:01:16.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFL_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFLUNCERT_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_MASK_001_20230327T230128_2308615_003.nc']",2023-03-27T23:01:28.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFL_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFLUNCERT_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_MASK_001_20230331T212603_2309014_003.nc']",2023-03-31T21:26:03.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFL_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFLUNCERT_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_MASK_001_20230527T225315_2314715_004.nc']",2023-05-27T22:53:15.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFL_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFLUNCERT_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_MASK_001_20230622T193201_2317313_003.nc']",2023-06-22T19:32:01.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_RFL_001_20230807T182732_2321912_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_RFLUNCERT_001_20230807T182732_2321912_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_MASK_001_20230807T182732_2321912_005.nc']",2023-08-07T18:27:32.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFL_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFLUNCERT_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_MASK_001_20230807T182744_2321912_006.nc']",2023-08-07T18:27:44.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_RFL_001_20230814T223453_2322615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_RFLUNCERT_001_20230814T223453_2322615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_MASK_001_20230814T223453_2322615_003.nc']",2023-08-14T22:34:53.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFL_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFLUNCERT_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_MASK_001_20230818T210019_2323014_002.nc']",2023-08-18T21:00:19.000Z
11337190,38.0521424,-121.6888428,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFL_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFLUNCERT_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_MASK_001_20230822T192519_2323413_002.nc']",2023-08-22T19:25:19.000Z
11447650,38.45566389,-121.5016167,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFL_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFLUNCERT_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_MASK_001_20220813T232355_2222515_004.nc']",2022-08-13T23:23:55.000Z
11447650,38.45566389,-121.5016167,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFL_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFLUNCERT_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_MASK_001_20230327T230128_2308615_003.nc']",2023-03-27T23:01:28.000Z
11447650,38.45566389,-121.5016167,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222333_2310515_003/EMIT_L2A_RFL_001_20230415T222333_2310515_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222333_2310515_003/EMIT_L2A_RFLUNCERT_001_20230415T222333_2310515_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222333_2310515_003/EMIT_L2A_MASK_001_20230415T222333_2310515_003.nc']",2023-04-15T22:23:33.000Z
11447650,38.45566389,-121.5016167,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFL_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFLUNCERT_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_MASK_001_20230527T225315_2314715_004.nc']",2023-05-27T22:53:15.000Z
11447650,38.45566389,-121.5016167,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFL_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFLUNCERT_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_MASK_001_20230622T193201_2317313_003.nc']",2023-06-22T19:32:01.000Z
11447650,38.45566389,-121.5016167,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFL_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFLUNCERT_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_MASK_001_20230807T182744_2321912_006.nc']",2023-08-07T18:27:44.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFL_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFLUNCERT_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_MASK_001_20220813T232355_2222515_004.nc']",2022-08-13T23:23:55.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFL_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFLUNCERT_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_MASK_001_20230327T230128_2308615_003.nc']",2023-03-27T23:01:28.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFL_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFLUNCERT_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_MASK_001_20230331T212603_2309014_003.nc']",2023-03-31T21:26:03.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222333_2310515_003/EMIT_L2A_RFL_001_20230415T222333_2310515_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222333_2310515_003/EMIT_L2A_RFLUNCERT_001_20230415T222333_2310515_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222333_2310515_003/EMIT_L2A_MASK_001_20230415T222333_2310515_003.nc']",2023-04-15T22:23:33.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222345_2310515_004/EMIT_L2A_RFL_001_20230415T222345_2310515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222345_2310515_004/EMIT_L2A_RFLUNCERT_001_20230415T222345_2310515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230415T222345_2310515_004/EMIT_L2A_MASK_001_20230415T222345_2310515_004.nc']",2023-04-15T22:23:45.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFL_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFLUNCERT_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_MASK_001_20230527T225315_2314715_004.nc']",2023-05-27T22:53:15.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFL_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFLUNCERT_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_MASK_001_20230622T193201_2317313_003.nc']",2023-06-22T19:32:01.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFL_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFLUNCERT_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_MASK_001_20230807T182744_2321912_006.nc']",2023-08-07T18:27:44.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFL_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFLUNCERT_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_MASK_001_20230822T192519_2323413_002.nc']",2023-08-22T19:25:19.000Z
11447890,38.25769218,-121.5182865,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_RFL_001_20230826T174937_2323812_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_RFLUNCERT_001_20230826T174937_2323812_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_MASK_001_20230826T174937_2323812_001.nc']",2023-08-26T17:49:37.000Z
